Subject ID,Ambient_Dry Sound,Ambient_Opera Hall,Ambient_Reverb Hall,Ambient_Small Office,Drum Beat_Dry Sound,Drum Beat_Opera Hall,Drum Beat_Reverb Hall,Drum Beat_Small Office,Instrumental_Dry Sound,Instrumental_Opera Hall,Instrumental_Reverb Hall,Instrumental_Small Office,Piano_Dry Sound,Piano_Opera Hall,Piano_Reverb Hall,Piano_Small Office,Poetry_Dry Sound,Poetry_Opera Hall,Poetry_Reverb Hall,Poetry_Small Office
HiCh0892',95,50,30,75,90,30,10,70,69,48,13,93,90,90,90,90,96,41,29,56
PrSh1094',90,35,20,70,90,25,15,40,70,20,40,90,95,90,70,80,95,40,15,55
ShWa0497',95,35,50,75,95,40,10,80,85,60,50,75,67,85,80,70,90,25,10,50
SuAg0592',40,78,80,70,95,35,15,50,85,75,70,90,70,60,60,65,90,40,15,40
SuGh1297',80,55,100,65,100,60,45,80,75,100,70,85,80,90,100,85,100,70,55,85
YaMu0596',100,95,90,95,100,85,85,90,100,100,95,100,100,94,92,91,100,89,83,97
ZiHe1195',30,45,20,40,60,50,30,70,55,40,35,70,55,30,70,45,90,50,55,70
faan0296',89,82,80,97,100,75,82,79,89,92,83,100,98,94,90,96,100,77,76,93
imah0198',100,95,94,100,100,86,85,88,99,100,100,100,100,93,98,100,99,78,78,100
mufu1197',84,80,77,87,100,68,71,87,93,92,90,96,90,95,92,96,100,77,67,94
saja0896',61,42,20,5,59,6,0,38,79,41,15,42,20,31,0,35,63,19,9,55
sapa0896',100,84,78,92,99,71,74,100,91,92,86,96,96,93,95,91,100,74,67,95
somu0194',100,81,84,97,100,78,77,94,100,97,89,100,97,97,100,98,100,83,80,95
taka1199',100,100,100,100,100,55,45,100,100,100,100,100,100,100,100,100,100,40,42,80
takh0798',99,79,75,97,100,65,57,97,99,86,90,100,99,97,98,96,100,77,73,96
umkh0400',99,98,95,100,100,93,91,100,100,98,100,100,99,95,100,100,100,96,93,100
waal0795',97,84,71,65,54,41,32,92,91,72,77,93,97,96,93,95,96,50,39,57
wais0396',100,80,76,91,100,76,74,91,98,87,85,100,99,94,100,98,100,74,67,96
yaar0798',98,82,84,93,100,78,79,81,96,78,76,92,91,96,94,97,100,77,73,95